Time,Voltage,current,temp
349,11.42,16.413,72.2
350,11.14,16.229,72.2
351,11.16,16.343,72.2
352,11.16,16.273,72.1
353,11.03,16.325,72.0
354,11.02,16.273,71.9
355,11.15,16.378,71.9
356,11.30,16.185,72.0
357,11.06,13.169,72.1
358,10.96,15.464,72.0
359,11.17,13.591,72.2
360,11.05,16.360,72.1
361,11.24,16.431,72.2
362,11.48,8.826,71.5
363,11.50,8.835,70.1
364,11.48,8.765,68.5
365,12.06,0.176,66.6
366,12.08,0.193,64.7
367,12.03,0.202,62.9
368,12.08,0.132,61.1
369,12.09,0.141,59.7
370,12.12,0.158,58.2
371,12.10,0.132,57.0
372,12.12,0.141,55.8
373,12.06,0.167,54.7
374,12.09,0.176,53.7
375,12.13,0.149,52.6
376,11.96,0.149,51.7
377,12.09,0.123,50.9
378,12.08,0.158,50.2
379,12.05,0.141,49.4
380,12.04,0.158,48.6
381,12.01,0.176,48.0
382,12.14,0.158,47.3
383,12.15,0.132,46.8
384,12.14,0.123,46.3
385,12.09,0.176,45.6
386,12.24,0.167,45.2
387,12.16,0.132,44.6
388,12.09,0.167,44.1
